신살,기본내용,조건(남),조건(여),조건(기타)
방위(方位),\n▷ 팔괘(八卦)의 방위는 정동(진震). 정서(태兌). 정남(리離). 정북(감坎). 동북(간艮). 동남(손巽). 서남(곤坤). 서북(건乾)으로 배치된다. 한편. 각각은 자연물을 표상하는데. 진(震)은 우레. 태(兌)는 연못. 리(離)는 불. 감(坎)은 물. 간(艮)은 산. 손(巽)은 바람. 곤(坤)은 땅. 건(乾)은 하늘을 의미한다. \n▷ 자강(自彊) 이석영(李錫暎) 선생은 『사주첩경(四柱捷徑)』에서 건곤방위의 관계를 천관지축(天關地軸)으로 설명하고 있다. 천관지축의 천관은 건방의 술해(戌亥)를 말하며 천문(天門)으로 서북지계(西北之界)를 지칭한다. \n▷ 지축은 미신(未申)을 말하며 지호(地戶)로서 남서지계(南西之界)를 의미한다. 천관지축은 사주의 지지에 천문의 술(戌)이나 해(亥)자 하나만 있어도 천관이 성립되는 가운데. 지호의 미(未)나 신(申)자 하나만 있어도 지축은 성립된다. 이렇게 천관지축이 성립하면 천지의 정기가 취합된 기취건곤(氣聚乾坤)으로 명진천하(名振天下)하고 달통(達通)하여 대귀한다고 본다. 다만 격국과 용신이 잘 구성되어 있는 가운데 천관지축을 보아야 길명이다. \n▷ 한편. 이사를 하게 되면 팔괘의 정방(正方)을 비롯해 측방(側方)으로 옮기게 된다. 그러나 정방으로 이사한 경우는 머지않아 다시 거처를 옮겨야 하는 경우가 많은데. 어느 경우가 되었건 당주의 삼합띠(일지)를 기준으로 관대(冠帶)의 월살방위와 묘(墓)의 화개방위. 양(養)의 천살방위와 쇠(衰)의 반안방위를 살펴 결정해야 한다.,,,\n▷ 그러나 각각의 방위에 따라 길흉의 득실이 엇갈리지만 일반적으로 쇠의 반안방위가 가장 길하므로 이동방향으로 정하면 무난하다. 고법의 맥락에서 띠를 기준하되 필자의 경우는 일지를 중요시한다. \n▷ 가령 당주의 일지가 묘목(卯木)인 경우 동남의 손방에 해당하는 반안방위로 이동하면 대체로 강녕수복(康寧壽福)하고 무난하다. 한편. 반대 방향인 건방의 서북 천살방위로 움직이면 생활 여건은 이전보다 좋아지지만 집안 윗분들의 안녕에는 문제가 발생한다. 천살방위는 황제남면(皇帝南面)의 제왕지좌(帝王之座)로서 어른들이 기거하는 곳이기 때문에 필연적으로 별리의 흉한 현상을 피할 수 없게 된다. \n▷ 참고로 천살방위에 자식의 방을 배치하면 불손한 자식이 되기 쉽고. 어른의 방을 배치하면 하극상의 기운을 잠재울 수 있다. \n▷ 그리고 월살방위로 움직이면 거개 후원성에 힘입어 타인의 수혜를 보게 된다. 아울러 화개방위로 움직인다면 당주의 사정이 좋지 않아 규모의 다운사이징(down-sizing)이 발생하거나 부모와 합거하는 형국이 된다.\n
백호(白虎),\n▷ 백호는 기문학(奇門學) 구성반(九星盤)의 구궁법(九宮法)에서 오황성(五黃星)의 중궁(中宮)을 이르는 말이다. 중궁은 태극(太極)으로 천지창조의 혼돈(Chaos) 상태이며 언제든지 폭발할 수 있는 무한 잠재력을 갖고 있다. 따라서 성격이 급하고 ‘피를 본다’는 혈광지사(血光之死)의 흉포함을 의미하는 악살(惡殺)이다. ​\n▷ 갑진(甲辰). 을미(乙未). 병술(丙戌). 정축(丁丑). 무진(戊辰). 임술(壬戌). 계축(癸丑) 간지가 일주를 기준으로 주중에 있을 때 강하게 작용함. 하지만 진술(辰戌)의 아수라. 축미(丑未)의 귀도 중에서 계축(癸丑)만 재성이 없음 ​\n▷ 강성기질 조급. 참을성이 부족. 감정표출. 자존심이 강. 간섭배제. 맺고 끊음이 분명. 추진력 폭발력 배짱 담백 과격성 ​\n▷ 백호의 기백으로 의외로 성공가도를 달리는 사람이 많음 ​\n▷ 백호는 기술성으로 보석세공. 불이용 공업계통 직업적성  \n▷ 백호살이 있으면 크게 망하거나 크게 성공함(굴곡 심함) ​\n▷ 평상심을 유지하고 성실하게 임할 때 백호운은 길운이 됨 ​\n▷ 백호일주는 동물을 잘 키우지 못하며 키워도 온전치 못함 \n▷ 백호살이 있으면 몸에 붉은 반점이 있을 수 있음(虎皮),,,\n▷ 백호살이 작용하는 시기의 백호 연운에는 매사 조심 \n▷ 백호의 지지가 충형당할 때 흉의(횡사)가 미침 ​\n▷ 연주백호-조상이 무업(巫業) 또는 횡사로서 굴곡 많은 삶   월주백호-육친이 무력하거나 박복하여 왕래가 없음   일주백호-분주다망하고 남 좋은 일만하여 유시무종의 삶   시주백호-자식이 무력하고 말년 고독한 삶 \n▷ 일지백호는 배우자백호로 가정이 평탄치 않고 배우자가 몸이 아프거나 결혼이 수월하지 않다. 생살여탈 업상이 아니면 일생 굴곡 \n▷ 비겁백호(戊辰)-부모유산 탕진. 형제불화. 반목. 이별. 질병 암시   식상백호(丙戌.丁丑)-여명은 산액. 남명은 쇠약. 처갓집과 소원   재성백호(甲辰.乙未)-부친 및 처의 횡액. 우울증 등으로 극단선택   관성백호(壬戌.癸丑)-남명의 신약명은 관재. 생리사별. 비명횡사\n
복성귀인(福星貴人),\n▷ 수복강녕(壽福康寧)을 의미하는 복성으로 부귀장수는 물론 명리(名利)가 따른다는 길성. 따라서 명예와 재물을 가늠하는 지표로 활용 \n▷ 해당 위치에 따라 시기적 복록을 추정하나 만년 팔자가 좋아야 한다는 의미에서 시주의 복성귀인을 최고로 평가. 횡재수에 강함 \n▷ 직업으로는 공적조직 등 큰 조직체와 연관하고 능력 발휘함 ​\n▷ 갑(甲)의 건록 인(寅)의 반대 방향으로 적용. 그러나 술해(戌亥)는 천문성에 해당하여 복성귀인이 없으므로 건너뜀,,,\n▷ 일간을 기준으로 복성귀인이 위치하는 지지의 시기에 발복하나. 천간과 복성귀인이 같은 주에 존재하면 작용력 배가 ​\n▷ 연주의 복성귀인은 조상 덕이 있으며(음덕). 월주의 복성귀인은 부모형제의 덕이 있고(음덕). 일주의 복성귀인은 자수성가하며(양덕). 시주 복성귀인은 말년 재복과 자식 복을 의미(양덕) ​\n▷ 복성귀인이 충형해파 또는 공망되면 허명으로 길한 작용 없어짐\n
복신(伏神),\n▷ 교신(交神).퇴신(退身) 다음에오고.진신(進神)전에 위치하는 신살로서 무인(戊寅) 계사(癸巳) 무신(戊申) 계해(癸亥)일주 \n▷ 무인(戊寅) 계사(癸巳) 무신(戊申) 계해(癸亥)일주가 동일한 간지를 행운에서 보게 되면 복신이 작용함(복음과 동일한 작용) \n▷ 복신(伏神)은 침체기를 맞아 엎드려 신음하는 의미로서 매사가 여의치 않아 일의 진척을 기대할 수 없음을 암시. 초조하고 불안함 \n▷ 복신일주는 기대한 만큼 만족한 결과를 볼 수 없고. 자칫 경솔하게 결정하면 후에 후회하는 일이 생김. 창업보다 수성이 중요함 \n▷ 교신(交神) 퇴신(退身) 복신(伏神)은 음양차착살과 동일,,,\n
복음(伏吟),\n▷ 반음살(反吟殺)과 더불어 흉살에 해당 \n▷ 복음(伏吟)은 일주와 동일한 원국 및 행운이다. 가령 갑오(甲午)일주가 갑오(甲午) 행운에 놓여 있을 때를 복음이라고 한다. \n▷ 음(吟)의 어의가 ‘끙끙 앓다’는 뜻으로. 복음(伏吟)은 피치 못할 사정으로 끙끙 앓고 신음해야 하는 흉운을 암시한다. 복음은 어느 쪽도 행운에서 도래하면 육친과의 흉화를 면하기 어렵다. \n▷ 복음(伏吟)이면 잔소리 및 잘 삐짐으로 변덕스러운 성향 \n▷ 특히 복음의 경우 정신문제를 일으키는데. 신기(神氣)를 발동하여 횡설수설한다든가 음식을 넋이 나간 사람처럼 게걸스럽게 먹는 등의 이상행동을 촉발한다. \n▷ 대체로 복음이 행운에서 동착하면 멍해지는 현상을 목도한다. 그러나 신강명은 흉화가 덜하다.,,\n▷ 아울러 여성은 강간 및 겁탈 등의 성폭행 등이 따르고. 또 본인 역시 성적 호기심이 강하게 발동하여 이성을 추구하기도 한다. ,\n
비인(飛刃),\n▷ 비인살은 양인살(羊刃殺)을 충하는 지지이다. 양인살은 음양간에 따라 십이운성의 제왕(帝旺)과 관대(冠帶)에 해당하지만. 이를 충하는 비인살이 들면 태(胎)와 묘(墓)지에 놓이게 되어 양인의 기운을 잠식함 \n▷ 양인의 기운과 달리 지구력과 인내심이 약화되어 매사 유시무종의 표본. 호기심이 왕성하여 일을 벌이기는 하지만 싫증과 포기가 반복되어 용두사미. 복수심과 반발심의 화신 \n▷ 양인의 기운을 표출하기보다 억제하려는 심리특성으로 욕구불만과 복수심 등이 내재되어 부정적 사고방식 \n▷ 한탕주의 심리가 있어 도박과 게임중독에 취약. 기예흥미,,,\n
삼살방위(三殺方位),\n▷ 겁살(劫殺) 재살(災殺) 천살(天殺)의 살이 낀 불길한 방위의 뜻으로 이사와 여행 그리고 건물신축 방향 등에 흉살로 작용 \n▷ 삼합을 기준으로 간명. 왕지의 충방이 삼살방위에 해당 ​\n▷ 태백살 대장군방위 삼살방위는 참고는 하되 맹신은 곤란,,,\n
삼재(三災),\n▷ 삼재(三災) = 천재(天災) 지재(地災) 인재(人災) \n▷ 팔난(八難) = 부모 형제 부부 관재 손재 주색 질병 학문 \n▷ 삼합(三合)띠의 생지의 충년(沖年)부터 삼재시작. 가령 인오술(寅午戌) 띠라면 생지의 충년인 신(申)의 신유술(申酉戌)해가 삼재 \n▷ 또는 삼합과 방합의 고지가 같은 해부터 삼재시작. 인오술(寅午戌)의 삼합 띠에 해당하면 고지의 술(戌)이 들어가는 방합의 신유술(申酉戌)이 삼재 \n▷ 시기에 따라 들삼재 눌삼재 날삼재. 길흉에 따라 악삼재 복삼재 \n▷ 무속의 개운방법은 자신의 옷을 태워 삼거리에 묻어두는 방법과. 들삼재의 입춘일에 동쪽을 향해 재를 올리는 방법과. 종이버선을 만들어 동쪽을 향해 걸어 두고 축원함. 날삼재에는 사람이 많이 모이는 곳을 피하고 정중동함(접신의 비술방책을 그대로 적용해서는 곤란) \n▷ 삼재를 막는 전통적 방법으로 매의 그림(鷹圖)을 방문 위에 붙이면 효험이 있다는 내용이 조선 후기의 실학자 이규경(李圭景)의 『오주연문장전산고(五洲衍文長箋散稿)』에 수록되어 있다. 또 조선 후기의 문인 유만공(柳晩恭)의 『세시풍요(歲時風謠)』에는 금계도(金鷄圖) 또는 머리가 세 개 달린 매 그림(三頭鳥)을 문에 붙여도 삼재를 물리치는데 도움이 된다는 기록이 있다. ​이러한 연유로 지금도 삼재의 액막이 부적법(符籍法)으로 노란색 종이에 붉은색의 경명주사로 삼두(三頭)의 매를 그린 이른바 삼두일족응부(三頭一足鷹符)가 삼재소멸부적으로 사용되고 있다. \n▷ 삼재살 연도의 동물형상과 그림 등을 없애고. 원진에 해당하는 물상과 그림으로 대체해도 개운방법 \n▷ 삼재살이 작용하는 연도라고 하더라도 시기분석과 실행분석으로 작용하는 월일을 정확하게 파악하는 것이 중요함,,,\n▷ 첫해(들삼재)는 가정 및 육친에 우환이 발생   둘째해(눌삼재 묵삼재)는 사업부진. 이성난. 직주이동. 관재구설   셋째해(날삼재)는 송사. 이별. 도난. 화재. 손재 등의 징표 남김 \n▷ 월삼재 참고(삼재시기에 연삼재와 같은 구조의 월삼재는 흉살) ​\n▷ 시기 적용에 있어서는 필자의 주관적 임상결과를 적용함   생지의 인신사해(寅申巳亥) 띠는 들삼재부터 날삼재까지 작용   왕지의 자오묘유(子午卯酉) 띠는 눌삼재부터 날삼재까지 작용   고지의 진술축미(辰戌丑未) 띠는 날삼재 기간만 작용 \n▷ 악삼재의 적용   생지의 인신사해(寅申巳亥) 띠는 생지의 들삼재가 악삼재에 해당   왕지의 자오묘유(子午卯酉) 띠는 왕지의 들삼재가 악삼재에 해당   고지의 진술축미(辰戌丑未) 띠는 고지의 들삼재가 악삼재에 해당 ​\n
상문조객(喪門弔客),\n▷ 상문살(喪門殺)과 조객살(弔客殺)로서 흉살에 해당 (상조살) \n▷ 상문살은 일지를 기준을 순행(順行). 조객살은 역행(逆行) 배열로서 지지를 기준으로 좌우의 지지가 한 개씩 빠진 배열이 원칙이지만 사지(四支)와의 관계에서도 파악 가능 \n▷ 주로 상가집 출입과 관련한 살로서 해당 행운에 상가 방문 자제 \n▷ 신병(身病). 우울. 허전하고 허무함. 넋이 나간 사람처럼 행동함. 급체 및 복통. 대인관계에서 구설 및 관재가 따름 \n▷ 상문살 행운에는 주로 윗사람과의 마찰로 구설이 따르는 반면. 조객살 행운에는 아랫사람과의 경쟁과 다툼으로 골치가 아픔 \n▷ 상문살 또는 조객살 행운에는 위축되고 소심해져 민감하게 반응하며. 무엇인가 잃어버린 듯 허탈감으로 답답한 상황이 연속됨. 그러나 주변 친인척이 상을 당하면 답답한 상황이 해소됨 \n▷ 부부관계 소원하고. 연인 이별수. 가족 이별수 \n▷ 연운과 일진을 참조하되 동착운에는 각별히 조심해야 함 \n▷ 격각살(隔角殺)과 비슷한 구조배열,,,\n
수옥(囚獄),\n▷ 재살(災殺)로서 겁살(劫殺) 세살(歲殺)과 함께 삼살(三煞) \n▷ 일지(日支)를 기준으로 다른 지지와 대조 \n▷ 지지 삼합의 왕지충에 해당(장성살과 충방)   인오술(寅午戌)→자(子) 신자진(申子辰)→오(午)   사유축(巳酉丑)→묘(卯) 해묘미(亥卯未)→유(酉) \n▷ 사소한 일을 크게 벌여 관재구설과 손재수로 재산을 탕진하거나 사고에 노출되기 쉬워 형무소 관련 횡액의 흉살 \n▷ 반면 군인. 경찰. 법조인처럼 감옥 관련 생살여탈권을 쥐는 직업 내지는 종교 및 역술업의 활인 직업은 피흉,,,\n▷ 신약사주에 재살이 기신이고 다른 흉신의 신살과 중첩되면 대흉. 신강사주에 재살관성으로 용신이면 군인 경찰 판검사 운명 \n▷ 수옥살이 수화(水火)에 해당하면 수해나 화재에 취약.  금목(金木)에 해당하면 폭력과 폭행으로 신체훼손. 토(土)에 해당하면 추락상(墜落傷)이나 전염병. 목(木)에 해당하면 교통사고 등의 사고로 뼈에 이상 \n▷ 연월지의 수옥살(재살)은 부모형제와 인연 박하거나 관재. 일지의 재살은 배우자와 인연 박하며 재물 손실을 예고. 시지의 재살은 자녀와 불화하며 질병과 양육에 곤란\n
신병(身病),\n▷ 과학적으로 설명할 수 없는 빈번한 신체적 정신적 교착상태에 의해 독특한 행동방식을 표출하며. 영육(靈肉)의 고통을 호소하거나 돌발행동 등으로 타자(他者)와 확연히 구별하게 하는 비이성적 오컬트(Occult. 신비주의) 현상 \n▷ 을사(乙巳) 을미(乙未) 기사(己巳)일주가 신병살의 대표로서 특히 일시에 동주하면 흉의 배증 \n▷ 신병살이 있으면 본인의 의지와 상관없이 육체적 상해(傷害)에 노출되어 큰 수술을 하거나. 정신적 교란에 의해 접신(接神)의 영역에 용이하게 노정 ​\n▷ 신병살이 있으면 무병(巫病)에 취약하여 시름시름 앓거나 신력(神力)에 의해 심한 영육의 고통을 느낌. 신내림을 받는 사람. 즉 무업(巫業)의 대부분이 이 경우에 해당 \n▷ 강신무(降神巫)는 신병살에 의한 무업으로 세습무(世襲巫)와 차별. 무업(巫業)은 종교 및 기예의 끼를 가진 자로서 무당 등의 종교 직업적 관점에서만 판단하면 곤란 ​\n▷ 신병살이 있는 사람은 기본적으로 역마의 기질이 있어 육신을 움직여야만 고통이 해소 \n▷ 교파를 초월하여 종교에 심취하거나 신심이 깊은 사람도 신병살이 작용 ​\n▷ 신병살이 있으면 가정환난 부부무정 부부별거 성격장애 타인배타(他人排他) 육친흉사 해로불가 정신질환 공황장애 우울증 조울증 수술장애 파란만장 환청환영 \n▷ 광의의 신병살 종류는 곡각 귀문관 화개 고란 과숙 육해 평두 현침 형살 등이 있으며. 이러한 신병살이 사주에 동착하면 흉의가 배증,,,\n
십악대패(十惡大敗),\n▷ 장사(葬事) 지내는 일 이외는 모두 흉하다는 일진 ​\n▷ 일간의 건록(建祿)이 공망 자공(自空) 체공(体空) 무록일(無祿日)로서 특히 무술(戊戌) 계해(癸亥)는 간여지동 공망이며 지지의 성정이 우선하여 표출됨 \n▷ 흉사가 크고 적에게 패배하며 손재가 따르므로 사업 확장에 불리. 유시무종 일득삼실 심신피로 자모자패 모사불성 사고 무질서 ​\n▷ 생살여탈 및 활인업 등의 업상대체하면 피흉 \n▷ 출산 이사 혼인 등의 택일에 절대 피해야 할 일진 \n▷ 십악대패일생은 만혼(晩婚)하며. 조혼(早婚)하면 해로불가 \n▷ 연주(연운)과 일주(일운)이 상충하고 일간공망(무록일) 庚戌년甲辰일. 甲辰년戊戌일. 甲戌년庚辰일. 乙未년己丑일. 乙亥년辛巳일. 丙寅년壬申일. 丁巳년癸亥일. 辛亥년乙巳일. 壬寅년丙申일. 癸巳년丁亥일 \n▷ 병신(丙申)과 기축(己丑)은 일간 건록의 공망으로 보지 않아 제외함. 다만 진사(辰巳) 공망은 토(土)공망. 오미(午未)는 화(火)공망,,,\n
암록(暗祿),\n▷ 일간기준으로 건록일지와 지합하는 지지(지지육합) \n▷ 총명. 영민. 선천재능이 있어 개척정신과 창조성 우수 \n▷ 암록의 위치에 따라 해당 시기에 복록이 끊이질 않고. 의식에 궁함이 없음. 특히 금전운이 대길 \n▷ 명예가 높아지고 의외의 행운이 따르고 흉운이 길운으로 전환 \n▷ 후원성이 있어 귀인의 도움으로 난관극복하며 발흥기회 \n▷ 암록이 충형. 공망되면 길신작용 난망,,,\n
양인(羊刃),\n▷ 양인(羊刃)은 양을 잡는 칼. 양인(陽刃)은 빛나는 칼 \n▷ 갑병무경임(甲丙戊庚壬) 양간양인은 사왕지 자오묘유(子午卯酉)의 제왕에 좌하고. 을정기신계(乙丁己辛癸) 음간 양인은 사고지 진술축미(辰戌丑未)의 관대에 좌함(서자평의 『연해자평』에서 분명하게 정의하고 있음) \n▷ 양간양인살을 양인살로 지칭하므로 음간양인살은 양인살에서 제외함. 다만 음인음인살은 음간이 지지의 제왕을 보는 정사(丁巳). 기사(己巳). 계해(癸亥)일주임 ​\n▷ 양간양인살일 때 변화와 변동의 스케일이 크지만. 음간양인살은 자존심과 선민성이 강하고 기예와 학예에 관심(그러나 음양간 양인살은 어떤 분야의 최고가 되려는 노력가) ​\n▷ 양인살이 있는 주중에 따라 해당 육친의 인연과 덕이 박함 ​\n▷ 양인살이 있는 사람은 목표의식이 분명하고. 의지력과 투지력이 강하여 역경을 잘 극복함. 리더십과 카리스마가 있어 지도자 및 영웅의 면모를 표출. 모든 일을 자신이 도맡아 해야 직성이 풀림 ​\n▷ 성정이 너무 강하고 자기중심적이며 독선적 아집과 외골수적 기질로 타협을 불허. 집요하고 끈기 있음 \n▷ 양인살이 많은 사람은 수술수. 몸에 칼자국. 눈꼬리 매서움 ​\n▷ 정치인 군인 경찰 검찰 의사 간호사 관세사 감사원. 세무직 등의 공직과 무당. 정육점. 장의사. 무도장 등의 업종은 양인살 피흉,,\n▷ 여명에서 양인살이 중첩되면 음난지상(淫亂之像),\n▷ 양간양인 가운에 일주가 임자(壬子). 병오(丙午). 무오(戊午) 간지를 일인(日刃)이라 하여 양인살의 의미가 가중(양인격. 일인격) ​\n▷ 일주를 중심으로 주중에 중첩하면 양인살 기운 배증 ​\n▷ 십성의 겁재(劫財)와 비슷하나. 겁재와 동주하면 배증 ​\n▷ 겁재와 식상이 양인과 동주하면 안하무인. 오만불손. 무례 ​\n▷ 신강사주에 양인이 있으면 극부극처(剋夫剋妻). 파란만장 \n▷ 사주의 합충형된 양인이 행운에서 합충형을 만나면 대흉 \n▷ 양인가살(羊刃駕殺) 사주에서 양인이 편관을 보는 가운데 청하고 유력하면 고위공직 및 의료 직업으로 부귀공명(위맹지상威猛之象). 양인살은 편관을 보아야 길함. 단 충형해파 되지 말아야 함 \n▷ 양인가살은 양간이 강하면 편관으로 극하고. 음간이 강하면 설해야 좋음 ​\n▷ 양인이 식상을 보지 못하면 유시무종의 노다공소(勞多功少) \n▷ 월주의 양인살은 양인인격으로 재관(財官)이 강해야 길함 \n▷ 목(木)양인-경쟁심. 투기성. 이재성. 강맹. 진취적. 혼자 설침   화(火)양인-다혈질. 자존심. 바른말. 주도권. 다변. 튀는 행동   토(土)양인-집요. 깐깐. 계산적. 구두쇠. 물고 늘어짐. 험구   금(金)양인-공명심. 임전무퇴. 복수심. 표독. 무모함. 깐깐. 불화자초   수(水)양인-오리무중. 사술. 주도권다툼치열. 폭발력. 암중모색\n
여연(女戀),,,\n▷ 여명의 을축(乙丑). 병신(丙申). 정축(丁丑). 기미(己未). 경인(庚寅). 신미(辛未). 임인(壬寅). 임신(壬申)일주로서 지장간의 편관칠살이 작용 \n▷ 고집스럽고 기가 센 남편 때문에 지속적으로 부부갈등 야기됨 \n▷ 여연살이 있는 여성은 배우자 몰래 애인을 숨겨두고 치정한다는 의미로서 갈등의 소지를 암시. 특히 여명의 애인은 폭력적이고 영육에 이상이 있는 경우가 많으므로 주의해야 함,\n
원진(怨嗔),\n▷ 주로 겉궁합(연지비교)의 척도로 활용(속궁합=일주비교) \n▷ 일지 기준으로 진해(辰亥) 유인(酉寅) 자미(子未) 오축(午丑) 신묘(申卯) 사술(巳戌)이 붙어있을 때 강함 \n▷ 원진은 지지의 충과 전후(前後) 관계로 연결되고. 동시에 충은 지지의 상호 순차적 관계에도 놓인다. 그래서 원진은 지지의 순차적 관계를 깨는 충의 결합체이기 때문에 애증(愛憎)의 교차가 심함 ​\n▷ 원망하고 화내는 의미. 만나면 소원하고 헤어지면 그리움. 대인관계 불화하고. 경거망동하여 시비와 구설수 따름 ​\n▷ 남탓.집착.참지못함. 자신은 손해봐도 자존심때문에 말못함. 그러나 서운함을 배우자에게 전가하여 싸움. 상호비하 ​\n▷ 사주에 원진살이 있으면 광대뼈가 돌출되고 무례. 음성 탁한 편 \n▷ 용↔돼지(용은 자신의 못생긴 돼지코를 싫어함)   닭↔호랑이(흰빛의 서백西白에 해당하는 닭 울음소리 싫어함)   쥐↔양(쥐는 양의 똥을 싫어함. 묻으면 털이 빠짐)   말↔소(소는 말의 게으름을 싫어함)   원숭이↔토끼(토끼 눈과 같은 원숭이 궁둥이를 싫어함)   뱀↔개(허물을 벗다 죽을 정도로 개 짖는 소리를 싫어함) \n▷ 직방살(直方殺)과 불혼개폐살(不婚開閉殺)을 참조,,,\n▷ 월지와 일지의 원진살은 부모형제와 원망 \n▷ 일지와 시지의 원진살은 자식과 인연 없고 박복 ​\n▷ 행운에서 원진을 만나면 재물손괴 및 직업중단수가 있고. 사고대운이 원진이면 목숨이 위태로움에 처함 ​\n▷ 일의 진척이 더디고 꼬이며. 귀문관살과 동주하면 배가 됨 \n▷ 원진 도화살은 자만심. 강자에 약하고 약자에 강함. 아부. 경망 \n▷ 연지원진-편두통. 견통. 뇌출혈. 오십견. 인후병. 이비인후질병   월지원진-흉부통증. 심장병. 위장병. 장기질환. 호흡기질환   일지원진-전립선. 생식기질병. 산액. 성기능약화. 요실금   시지원진-골다공증. 하체부실. 하지정맥. 체력쇠약. 몸이 마름\n
월덕귀인(月德貴人),\n▷ 인덕(人德)과 매사순성(每事順成)으로 부귀공명의 길성. 천덕귀인과 더불어 이덕귀인(二德貴人) \n▷ 혼인궁합 등 택일 등에서 우선시하는 길성 \n▷ 월덕귀인이 청기하면 음덕(蔭德)은 물론 건실한 삶을 지향하며. 처덕과 인덕이 많아 매사가 원만하게 이루어짐 \n▷ 월덕귀인이 있으면 대체로 심성이 반듯하고 다정다감 \n▷ 재운이 좋아 일시적 굴곡이 있어도 부귀공명하게 됨 \n▷ 월덕귀인과 해당지지를 십성 비교하여 긍부정 심리 적용 ​\n▷ 월지기준으로 주중의 천간과 대조분석,,​\n▷ 여명의 천덕귀인은 좋은 배우자와 가연(佳緣). 귀자(貴子) ​\n▷ 여성은 성격이 온순하고 정조관념이 있고 현모양처 유형,\n▷ 천덕귀인과 동주하면 일생 호의호식하고 흉사를 면함 \n▷ 월덕귀인이 용신이거나 용신과 동주하면 대길 \n▷ 월덕귀인이 중첩되거나 흉신이면 길성작용 기대난망\n
유하(流霞),\n▷ 멀리 흐르는 물처럼(流‘흐를 유’. 霞‘멀 하’) 한 곳에 정착하지 못하고 떠돈다는 의미. 역마살과 달리 유하살은 새로운 것을 찾아 방랑하려는 기운 \n▷ 사주에 유하살이 있으면 다재다능하고 팔방미인이어서 인기맨으로 통함. 문장이 수려하고 재기발랄함 \n▷ 쉽게 싫증을 느끼고 지속성이 없으며 이동이 심하여 고독 \n▷ 유하살에는 재물이 일순간 없어지며. 중풍병에 취약 \n▷ 유하살이 있으면 멀리 있는 사람과 배우자 인연되기 쉬움 \n▷ 일간을 기준으로 주중의 지지와 비교,\n▷ 특히 경진(庚辰). 신묘(辛卯)일주의 남명은 객지에서 곤곤한 생활할 수 있고,\n▷ 특히 경진(庚辰). 신묘(辛卯)일주의 여명은 산액으로 고생할 수 있음,\n
육수(六秀),\n▷ 병오(丙午) 정미(丁未) 무오(戊午) 무자(戊子) 기미(己未) 기축(己丑)일주가 해당 \n▷ 십성의 편재(偏財) 성정과 비슷한 기운으로 두뇌회전력이 뛰어나고. 만능요령꾼으로 재치가 있으며 조급한 성격 \n▷ 이재성이 뛰어나 계산적이며 실리적. 선동성과 독단적 기질 \n▷ 이해타산과 이기적이나 마음이 동하면 한없는 인정을 베풀기도 하지만 성격변화가 심해 동업은 유지 곤란 \n▷ 부화뇌동에 의해 순간판단으로 업무를 처리하여 후일 후회함,,,\n
음양(陰陽),\n▷ 남명의 병자(丙子). 여명의 무오(戊午)일주에 해당 \n▷ 납음오행(納音五行)의 정음(正陰)에 속하는 병자(丙子)와 정양(正陽)에 속하는 무오(戊午) \n▷ 음양살이 있으면 남녀 모두 인물이 좋고 달변이며. 호감도가 높아 이성으로부터 관심의 대상이 되어 연애운이 좋은 경우를 말함 (색정으로 일생을 망친다는 등의 속설은 잡설) ​\n▷ 설령 일탈하더라도 가정에서는 일체 흔적을 남기지 않을 정도로 치밀함을 유지함. 가령 배우자에게 더욱 헌신하고 최선을 다하는 모습을 보이며 은폐함,,,​\n▷ 음양살이 원진 또는 도화살과 합작하면 음란성이 배가됨. 다만 도화살과 합작하면 연예인 같은 끼를 발산하므로 기예의 직업으로 성공함\n
음양차착(陰陽差錯),\n▷ 음착(陰錯)과 양착(陽錯)의 둘을 합하여 음양차착이라 함 \n▷ 음양차착살은 배우자 관계 및 배우자의 친인척 등과 얼마만큼 좋은 인연이 될 수 있는지를 가늠하는 척도 \n▷ 일주에 음양차착살이 있을 때만 적용. 일주기준으로 중첩되면 작용 배가. 음착살이 양착살보다 부정심리가 강함 \n▷ 음양차착살이 있으면 배우자 및 배우자 집안 덕 기대 난망 \n▷ 경제적 발흥이 더디고. 처가(妻家)나 시가(媤家)에 부정심리 \n▷ 양착살은 직접적으로 불만을 표출하며. 음착살은 불만을 쌓아 두고 반전의 기회를 노림 ​\n▷ 진신(進神) 교신(交神) 퇴신(退身) 복신(伏神)에 해당함,\n▷ 남명은 아내에게 만족하지 못하고 고독감으로 일탈이 용이하며. 또는 처가와 시비가 잦아 왕래가 끊김 \n▷ 양착의 남명은 처가 덕을 기대하기 곤란함 \n▷ 음양차착살의 남성은 욕정이 강함,\n▷ 여명은 남편에게 불만이 많고 외로움을 느껴 일탈하기 쉽고. 또 시댁의 눈 밖에 나는 행동으로 절연 \n▷ 음착의 여명은 시댁 덕이 없고 \n▷ 음양차착살의 여명은 대체로 용모가 곱고,\n
