일주,항목,내용,남자,여자,조건,결과,조건식
辛未,01,가을의 결실을 힘들게 이룩하는 모양으로. 매사를 재주와 재능에 의해서 성취하는 형입니다. 그러나 뜨거운 기운과 가을의 결실 기운은 적당한 수분 속에서 이루어지므로 팔자에 수가 있어야 결실이 좋을 것을 의미합니다. 항상 고상한 것을 좋아하고 신앙. 종교에도 인연이 깊습니다. 매사를 끝까지 밀어 붙이거나 융통성 있게 처리하는 힘은 약한 편입니다. 지지 편인은 재주. 재능이 되므로 재주와 재능으로서 직업을 삼게 됩니다. 마음속으로 큰 재물을 수시로 꿈꾸는 성품에 재주. 재능을 믿고 융통성을 발휘하지 못하여 인간관계에 있어서 어려움을 만드는 수가 많습니다. 근본 성품은 인내심이 있고 현량한 성품입니다.,,,팔자에 수가 있으면. ,기본적인 의식주 걱정은 없습니다. ,if(nr_oh5>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,01a,,,,수가 없고 화다하면. ,일평생 의식주에 애로가 많습니다. ,if(nr_oh5===0 && nr_oh2>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,02,대체로 모친 인연이 깊고 부친 인연이 약하거나 덕이 부족한 모양으로. 사회적으로 현달하지 못하는 부친이 많다 하겠습니다. 매사에 모친의 간섭으로 갈등을 겪는 경우가 많습니다. ,남자는 고부간의 갈등으로 고통을 당할 수도 있습니다. 아니면 남모르는 연정으로 인하여 고통이 올 수도 있습니다. 자식운 남자는 아들이 많고 딸이 드믑니다.,여자의 경우는 기가 강한 남편으로 갈등이 따르든지 남모르는 연정으로 인한 고통이 올수 있습니다. 자식운 여자는 아들이 드물고 난산일 경우가 많으니 주의하여야 합니다.,남자는 팔자에 수가 적으면. ,아들이 드물 수도 있습니다. ,if(gendr === '남양' && nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,03,인내 노력과 두뇌 공부가 적절함으로 소년시절 학문 발휘가 저조 하더라도 세월이 흐르면서 학문 발전이 오고. 흡족한 수준은 아니라도 좋은 학교 인연이 많습니다.  기본적인 재능이 있고 인내 노력이 있으므로 처음에는 학마를 겪더라도 세월이 흐르면서 학문 발전을 이룩합니다.,성공의 전공길 남자는 법학. 종교학. 철학. 공학. 상과. 의.약학. 등이 됩니다. ,성공의 전공길 여자는 법학. 어학. 교육. 육영. 인문과학. 사회과학. 전문기술 분야. 의약. 간호학 등이 됩니다. ,팔자에 수가 부족하고 화가 부족하면. ,갈증을 심하게 느끼는 모양이라 인내 노력이 있더라도 발휘가 저조하여 학마를 겪는 수가 많습니다. ,if(nr_oh5<2 && nr_oh2<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,04,내심으로는 남녀 공히 연애에 관심이 많은데 몰래 연애를 하더라도 모친의 간섭으로 무산되는 경우가 많습니다. 배우자를 결정하는 과정에서도 모친과 갈등이 따를 수 있습니다. ,남자의 경우는 자식이 들어서고 결혼하는 경우가 많습니다. </br>좋은 배필 인연으로 남자는 쥐띠. 소띠. 범띠. 토끼띠. 말띠. 양띠. 닭띠. 돼지띠 여자가 좋은 인연입니다. </br>기가 강한 처가 오거나. 처로 인하여 갈등. 고통이 따를 수 있습니다. 아니면 숨은 여자로 인하여 갈등이 따를 수 있습니다. ,좋은 배필 인연으로 여자는 소띠. 토끼띠. 용띠. 뱀띠. 말띠. 양띠. 닭띠. 돼지띠 남자가 좋은 인연입니다. </br>여자 또한 기가 센 남편이나 숨은 남자로 인하여 갈등이 따를 수 있습니다. ,,,
辛未,05,기술. 재주. 재능의 별로 직업도 기술과 관련한 분야에서 이루기 쉽습니다.  조직 직장길은 공학. 전문기술. 무관 또는 검.경찰. 토목건축. 금융. 교육 등이 많고 사업길은 전문기술 사업. 건자재. 섬유. 가구 등의 통상업. 교육. 육영사업. 물장사. 요식업 등이 많습니다. 사업적 융통성이 있지만 내심 기대에 그치고 마는 경우가 많습니다.,,,팔자에 수가 부족하고 화가 많으면. ,평생 기술과 관련된 조직 직장이나 특수직 공직 등으로 직업을 삼게 됩니다. ,if(nr_oh5<2 && nr_oh2>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,05a,,,,팔자에 수. 목이 있으면. ,사업 인연에 재물 성공이 있습니다. ,if(nr_oh5>0 && nr_oh1>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,06,내심의 재물 욕심이 많아 항상 큰 재물을 꿈꿉니다.  ,남자의 경우 여자를 고생시키고. 처가 병이 드는 경우가 많습니다. ,여자의 경우는 재물 활동이 있으면 남자가 자꾸 따라서 고통이 올수도 있습니다. ,팔자에 수가 있어야. ,재물의 성취가 있습니다.,if(nr_oh5>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,06a,,,,수가 부족하면. ,의식의 어려움을 면하기 어려울 수도 있습니다.,if(nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
辛未,07,해질 무렵의 양 이니 적적한 기운이 감돌고 육친이 소원하기 쉽습니다. 밭에 서있는 허수아비 의 모습과 같아 대체로 순박하고 겸손하며 남의 말을 잘 믿는데 한번 마음이 틀어지면 끝까지 풀리지 않는 굳게 버티는 성미가 있습니다. 글자의 모양이 예리한 침과 같아 이를 현침이라 해서 정밀한 작업이나. 서예 등에 소질을 보일 때가 많습니다.,,,,,
辛未,08,8 辛未 (丁9 乙3 己18)</br>衰 재고귀인(財庫貴人) 효신(梟神)</br></br>백양(白羊)은 순박하고 겸손한 성정을 시사한다. 해질 무렵의 양은 울타리 속으로 들어가야 하므로 이니 쓸쓸하고 적적(寂寂)한 맛이 있다. 신의(信義)가 있고 안정된 다정한 성품인데. 돌연 돌변하여 냉정성을 보일 여지가 있다. 주거. 직업. 환경 등에 변화가 많은 편인데 이는 未. 천역(天驛)에 연유한다. 辛의 숙살(肅殺)기는 한번 마음이 틀어지면 끝까지 풀리지 않는 대단한 고집(固執)을 보이기도 한다.</br>또한 탐재괴인(貪財壞印)하는 기운이 있어 신앙에 뜻을 두지만 오래 가지 않는다. 조토(燥土)는 생금(生金)하는 작용이 미약하여 학문이 중단되기 쉽다. 자의(字意) 상으로 글씨나 서예(書藝)에 소질을 보인다. 재복(財福)은 있는 편이다. 지혜와 눈치가 비상하여 어떤 일이든 능수능란하게 처리하는 수완이 있고. 인정이 많은 반면 욕심도 많다. 인수(印綬)와 재고(財庫)가 결합되면 친가(親家)의 유산을 상속하게 된다. 장간(藏干)의 물상(物象)은 음식 솜씨가 뛰어남을 암시하고. 궁중요리나 한정식. 분식류. 특히 튀김 요리를 잘 만들 것이다. ,재고(財庫)의 성분은 재물의 성취에 힘을 기울이고. 욕심이 있지만 처(妻)를 고생시키는 편이다. ,여연(女戀)의 일주로 바깥 활동을 하면 혹 정부(情夫)를 만나기 쉽다. ,,,
辛未,09,1. 문곡귀인(文曲貴人)은 문필(文筆)이 바르고. 예체능계에도 소양을 지님을 암시한다.,2. 재관동림(財官同臨)으로 혼전득자(婚前得子)하며 처(妻)가 잔병(殘病)에 시달린다.,3. 상부재가(喪夫再嫁)하는 경우가 많고. 남편 몰래 바람을 피운다. ,,,
辛未,10,辛金 일주는 남녀를 막론하고 성행위를 즐기는 편이다. 신병(身病)이나 병적 결함이 없는 한. 사춘기를 지나면서 갱년기가 올 때까지 세월이 갈수록 더욱 활발해진다. 특히 얼굴색이나 입술이 피부색에 비해 검푸른 색에 가까우면 호색가(Sensualist)로 눈썹이 검고 강하면 더욱 강하다.,,,,,
辛未,11,辛未일주는 폐질환. 기관지. 위장병 계통의 질병을 조심해야 하며 지지가 너무 조열(燥熱)하면 해지면 치질(痔疾). 귓병(耳病) 등으로 시달린다. </br>辛: 폐(肺). 다리</br>未: 위장(胃腸). 명치. 척추 ,,,,,
辛未,12,교육계. 예능. 의약계. 사법관. 혹은 수사기관이나 재정 계통이 적합하다. 편인(偏印). 화개(華蓋)는 역술이나 건축. 토물 기술직에서도 적성이 부함됨을 의미한다.,,,,,
辛未,13,◈ 일주론 해석 - 신미 (辛未)일주 </br></br>신미일생은 재관인 삼자가 반안에 든 격입니다. 지혜와 눈치가 비상하고 어떤 일이든 능수능란하게 처리합니다. 기본적으로 의식이 유여하고 재복이 있습니다.</br>보통 고지에 재인이 같이 들면 탐재괴인하는 형세로 신앙이나 학업에 뜻을 두어도 오래 지속되지 않는 경향이 있습니다. 인정도 많고 욕심도 많습니다.</br>이 사람의 재는 양지에 놓이나 미토 현침에 놓여 잔병이나 질병으로 인한 고통을 겪기 쉽습니다. 고부간의 갈등이 있는데 둘 중 하나는 아픈 경우로 대체될 때가 많습니다. </br>인수 월살은 어질고 착한 성정을 암시하지만 기본적으로 관대는 덜 여문 운기의 상태로 성숙한 인격의 소유자로 보기는 어렵습니다. </br>이 사람은 주거나 직업 환경 등에 변화가 많습니다. 이는 다 미토의 천역으로 낭떠러지를 옮겨 다니는 양의 물상을 떠올리면 이해하기가 용이합니다.,,여명은 관고로 이성을 고르는 기준은 높지만 실제로 기대치 이하일 경우가 많고 재관동림으로 혼전득자의 가능성이 있습니다. 자좌관고의 유형은 남편이 의약계나 군경계. 종교계 등에 봉직해야만 부부궁이 무탈합니다. ,여명은 진토 묘운을 만나면. ,상부재가하는 수가 있고 여연으로 외도의 우려가 있습니다.,if(gendr === '여음' && (hn_lj==='辰' || hn_lj==='卯' || hn_yj==='辰' || hn_yj==='卯')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,01,만물이 최종적으로 결실하는데 쓰이는 물의 모양으로. 왕성한 재물활동보다 매사를 결실하는 학문. 종교. 기술 등의 기운이 강함을 의미합니다.  재주. 기술이 탁월하고 눈치가 비상한데 재주. 기술에 비해 재복은 적은 편입니다. 고상한 것을 좋아하고 항상 관심을 가지며 학문. 도덕. 종교를 좋아하고 평생 인연하기도 합니다. 수명은 장수에 해당하고 매사를 자기중심 적으로 생각하는 단점이 있습니다.  재주. 두뇌가 비상한데 매사를 자기중심 적으로 생각 하므로 스스로 고독을 만들기 쉽습니다. 재능. 두뇌는 보통 사람을 뛰어 넘으므로 지도자 격인데 세속적 지도자(정치. 경제. 사회)는 힘들고 종교나 교육계 또는 전문기술 분야에 지도자 인연하면 두각을 나타내고 성공할 수 있는 성품입니다.  그러나 다른 사람이 잘 인정해 주지 않으므로 고독하게 살기 쉬운 운입니다.,,,팔자에 오가 있으면. ,전문기술 . 학문으로 평생 직장길이 합입니다.  ,if (sj_ganji.includes('午')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,01a,,,,사가 있으면. ,큰 재물을 꿈꾸다가 여러 가지 애로를 당하는 운입니다. ,if (sj_ganji.includes('巳')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,02,대체로 모친인연이 강하고 부친인연이 짧거나 덕이 부족할 운에.  모친의 심한 간섭으로 마음에 갈등이 수시로 따를 수도 있습니다. 또한 남녀 공히 배우자의 심한 간섭으로 갈등. 고통이 따를 수도 있습니다. 자식은 딸이 과년하여 시집이 늦거나. 시집갔다가 되돌아오는 경우가 있을 수 있습니다. ,,여자는 자식으로 인한 근심이 많은 편입니다. ,남자의 경우 팔자에 토가 있으면 ,아들딸 고릅니다. ,if(gendr === '남양' && nr_oh3>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,02a,,,,여자의 경우는 팔자에 목. 화가 있으면 ,아들딸 고릅니다. ,if(gendr === '여음' && nr_oh1>1 && nr_oh2>1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,02b,,,,여자의 경우 팔자에 목. 화가 부족하면 ,딸이 많습니다. ,if(gendr === '여음' && nr_oh1<2 && nr_oh2<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,03,소년 학문길 시작부터 재능을 발휘하여 계속 좋은 성적을 거두는 형입니다.  대체로 초년에 학문 발휘가 있고 인내 노력도 있지만 세속적인 직업을 구하는데는 운이 약하여 공부를 많이 했더라도 써먹기는 힘든 운입니다. 대체로 학위를 여러 개 취득하는 경우가 많습니다.,성공의 전공길 남자는 공학. 철학. 사학. 종교학. 교육. 예술. 전문기술 등이 됩니다.  ,성공의 전공길 여자는 인문학. 어학. 교육. 종교학. 예술. 전문기술. 등이 됩니다.  ,태어난 계절이 겨울이고 팔자에 화가 부족하면. ,발휘가 저조할 수 있으므로 도리어 우둔하고 성적이 고르지 못한 경우도 있습니다.  ,if((sj_mj==='亥' || sj_mj==='子' || sj_mj==='丑') && nr_oh2<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,04,지지 편인은 부모의 심한 간섭을 의미하므로 소년 시절 이성에 대한 관심은 있더라도 부모의 간섭으로 순조롭지 못한 경우가 많습니다. 배우자의 결정에 있어서도 부모의 간섭으로 갈등을 겪는 경우가 많습니다. 물론. 자기 고집으로 결혼을 하게 됩니다. ,대체로 남자의 경우 한쪽 면만을 보고 결혼 했다가 후회하는 경우가 많습니다.  </br>좋은 배필 인연으로 남자는 쥐띠. 소띠. 토끼띠. 용띠. 뱀띠. 말띠. 원숭이띠. 개띠 여자가 됩니다. </br>남자는 매사를 자기중심 적으로 생각하고 처의 간섭을 싫어하므로. 결국은 처를 소흘히 하여 고통을 주게 됩니다. ,대체로 여자는 남자의 고집으로 결혼했다가 후회하는 경우가 많습니다.  </br>좋은 배필 인연으로 여자는 쥐띠. 소띠. 용띠. 뱀띠. 말띠. 양띠. 원숭이띠. 개띠 남자가 됩니다. </br>여자의 경우는 남편의 간섭으로 인해 결국은 남편과 관계가 멀어집니다. 아니면 애인을 두는 경우도 있으며.  대체로 생과부가 많다 하겠습니다. ,,,
壬申,05,기술. 재능 등으로 직장 인연을 하든지. 공부를 많이하여 교육. 육영 분야에 진출하면 평생의 직업이 됩니다. 조직 직장길은 전문기술(의.약. 예술) 분야. 교육. 육영. 기술적 행정 또는 공직. 출판. 언론분야. 등이 많고. 자기 사업길은 전문기술 사업. 교육.육영사업. 종교사업. 임대사업. 출판사업. 소개업 등이 됩니다. 지지 편인은 재주. 기술을 의미하지만 재복을 약화 시키므로 평생 노력은 있어도 그 성취는 적을 수 있으며. 의식의 고통이 따를 수도 있습니다.,,,팔자에 목. 화의 글자가 없으면. ,종교계에 진출하여 성공할 수도 있습니다. ,if(nr_oh1<1 && nr_oh2<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
壬申,06,평생 주거의 전변이 심하고 오랫동안 거주하려고 하면 의식의 장애를 입으므로 이사를 하여 오래 있으면 안됩니다. 가장 좋은 길은 종교. 교육. 전문기술로 평생 인연하되 돌아 다니면서 하는 형태이면 의식 걱정은 면할 수 있습니다. 행동도 부자처럼 행동하지만 내용은 부실한 경우가 많을 수 있습니다.,,,,,
壬申,07,물이 샘솟는 바위 의 모습으로 광천이니. 언변이 능숙하고 설득력이 뛰어나 교육. 의약. 종교 계통에서 크게 두각을 드러낼 수 있습니다.  원류가 풍후하니 오랜 가뭄에도 마르지 않아 여력을 지니고 어떤 환경에도 잘 적응하며 활발하고 포용력이 있습니다.  그러므로 자연 만인의 신망을 얻게 됩니다. 활인의 기운이 서려 타향이나 해외에서 활동하고 득명하는 경우가 많으며 이 사람은 인정이 넘치는 가운데 속으로는 냉담한 기운을 품고 있습니다.   외화내곤으로 겉으로는 드러나지 않는 내면의 아픔이 있습니다.,,,,,
壬申,08,9 壬申 (戊7 壬7 庚16)</br>生 학당귀인(學堂貴人) 효신(梟神)</br></br>원류(原流)가 풍후하니 오랜 가뭄에도 마르지 않으니. 여력이 대단하고. 어떤 환경에도 잘 적응하며 활발하고 포용력이 있다. 그러니 자연 만인의 신망을 얻게되고. 또한 영리하여 다방면에서 재능을 실현하게 된다. 일지(日支) 장생(長生)은 여간한 흉살(凶殺)을 제복(制伏) 시키므로 좋은 일주라 할수있다. 학당(學堂)은 학문을 즐겨하고. 교육계통으로의 진진출을 돕는 길성(吉星)이다. 다만 편인(偏印)과 비견(比肩)의 왕성한 결합은 너무 한 방향으로 치우쳐 사물의 양면을 간과하는 속성을 지니기쉬우므로. 교과서를 초월하는 마스터의 경지에 오르기는 수월치 않다.</br>겉으로는 단정하고. 온화하게 비치지만 내심은 물이 솟아오르는 바위 의 형상으로 급격한 성향을 지니게 된다. 언변은 능숙하고. 외국어 계통에 자질이 우수하며. 설득력이 뛰어나 종교계(宗敎界). 교육계. 의약계 등에서 크게 두각을 나타낼 수 있다. 효신(梟神)은 자녀의 덕이 박(薄)하고. 시모(媤母)를 봉양하지 못함을 의미한다. 아쉽다면 박학다식(博學多識)에 걸 맞는 재복(財福)을 실감하기 어렵고. 부자(父子)와 떨어져 사는 기간이 많다. 현침(懸針)은 중년 이후 한번의 수술수를 예고한다. ,일지(一支) 지살(地殺)은 해외나 객지 생활로 분주함을 암시하고. 남자는 처(妻)를 생과부(生寡婦)로 만들 정도이다. ,여명(女命) 또한 두뇌와 재치가 비상하며 사회활동을 하게 된다. ,,,
壬申,09,1. 중년 이후에 타향에서 득명(得名)하고 해외에도 인연이 있다.,2. 가족과 떨어져 생활하는 고독(孤獨)한 객지 생활을 하게 된다.,3. 외화내빈(外華內貧)이라. 귀부인(貴婦人)의 상이나 내면의 곤고(困苦)함이 있다. ,,,
壬申,10,,男命은 방랑벽이 있으며 동서남북에 애인을 둘 수 있으나. 이는 호색(好色)보다는 고독(孤獨)에 연유한다. 마음만 초조하면 행위가 원활치 않을 수가 있으니. 성급하게 서두르지만 않으면 무난한 에네르기의 소유자다.,女命은 온순하여 소극적인 편이다. 냉질(冷疾)을 겪기 쉽고. 불감증(不感症)인 경우도 적지 않다. ,,,
壬申,11,壬申일주는 신장. 방광. 심장병. 당뇨. 성병 등을 주의해야 한다. 과음(過飮)을 특히 자제하고. 申 현침(懸針)은 중년 경의 수술수를 암시한다. 이때 오행에 배속된 해당 부위가 되는 환부(患部: 폐나 대장)에 탈이 나기 쉽다.</br>壬: 방광(膀胱). 경락. 삼초(三焦)</br>申: 폐(폐). 대장(大腸). 경락 ,,,,,
壬申,12,학자. 외교관. 의약계. 교육계가 적합하며. 사업으로는 관광업. 무역업. 수산업. 운수업. 양조업 등과 연관이 깊다. 종교계에서 큰 행보를 하기도 한다.,,,,,
壬申,13,◈ 일주론 해석 - 임신 (壬申) 일주 </br></br>임신일생은 한마디로 박학다식한 사람입니다. 학당은 학문을 즐겨하고 교육 계통으로의 진출을 돕는 길성이니까요. 그런데 재관은 병지에 놓이니까 부부의 인연은 비교적 평안해도 분주하게 다녀야하고 보통 재능에 비해 재복이 크게 따르는 명은 아닙니다.</br>식신 갑목은 절지에 놓이므로 인묘시나 해시가 아니면 출산이 쉽지 않고 가족이 함께하는 시간이 많지 않습니다. 일지에 인수가 주종을 이루면 대체로 모친과 인연이 깊다고 했지요. 부친이 크게 출세하거나 덕이 깊은 경우는 드뭅니다. 일지에 모성이 생록왕을 얻으면 대개 고부 갈등이 있습니다. 연애 시절부터 모친의 관여가 따르기 마련입니다.</br>비견 또한 장생을 얻어 인비가 다 왕성한데 상황이 이러하면 자아가 강하고 주로 구류술업 방면에서 두각을 드러냅니다.</br>사화는 비견의 절지가 되므로 사신형이 들면 파재나 형제궁에 형액을 겪을 우려가 있습니다. ,신금은 대역의 고성입니다. 고독한 성분이지요. 남자는 고독한 객지 생활이 따르는 경우가 대부분입니다. 외화내곤이지요. ,여명의 일주에 칠살이 들면 여연이라 해서 보통 기가 센 남편으로 인한 갈등이 있거나 혹간 따로 애인을 두는 갈등의 소지가 있을 때가 많습니다. 여성은 외연이 고상해도 내면의 수심이 따르는 경우가 대부분입니다. 외화내곤이지요. ,,,
癸酉,01,고요하게 만물을 거두어들이는 결실의 기운으로. 조용하고 안정적인 분야에서 평생을 보내기 쉬운 운입니다. 타고난 재능과 기술을 가지고 있지만. 고독하기 쉽고 노력에 비하여 결실이 적을 수 있습니다. 사회 조직 중에서는 교육. 연구. 전문직 등 활발하지 못한 조직 직장이 어울리고. 천성으로 보아 교육. 종교. 등에서 직업 인연하면 평생 순탄한 삶을 이룰 수 있습니다. 다재 총명하고 천재적인 수완이 있지만. 개인적인 고독. 우울의 성분도 많습니다. 지나친 도덕성을 고집하여 타인에게 고통을 줄 수도 있고. 자신이 어려운 상황에 빠질 수도 있으니 주의 하여야 합니다. 종교. 교육에 인연하면 존경 받을 수 있는 성품입니다,,,,,
癸酉,02,대체로 부친인연 약하고 모친 인연이 강할 운에. 모친의 심한 간섭이 있고. 그로인해 갈등이 따르는 수도 많습니다. 부모 인연이 고르지 못하거나. 덕도 부족한 경우가 있을 수 있습니다. ,남자는 성혼이후에 처가 병약하거나 처로 인한 근심이 올 수도 있습니다. ,여자는 남편의 심한 간섭으로 고통이 오거나 배필이 병이 있어 근심하는 수도 있습니다. 여자는 자식이 드물던지 아들이 드물 수 있습니다.,남자의 경우 팔자에 화. 토가 고르면 ,아들딸이 고르고. ,if(gendr === '남양' && 1<nr_oh2<4 && 1<nr_oh3<4){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
癸酉,03,두뇌 총명하고 인내 노력이 따르므로. 일찍부터 좋은 성적을 유지하고. 좋은 학교 인연이 많습니다. 재능. 인내. 노력의 별로 다학위를 이룩하고 세월이 흐르면서 더욱 학문이 빛나는 경우도 많습니다.,성공의 전공길 남자는 역사. 철학. 교육. 육영. 어학. 공학. 종교학. 전문기술 분야 등이 됩니다. ,성공의 전공길 여자는 인문과학. 교육 육영. 어학. 종교학. 전무기술 분야 등이 됩니다. ,팔자에 토가 부족하면. ,학문에 비하여 부족한 학교 인연이 쉽습니다. ,if(nr_oh3<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
癸酉,03a,,,,팔자에 화와 토가 부족하고. 금. 수가 왕성하여 사주가 차가우면. ,인내 노력에 비해 발휘가 저조하여 계속 학문 발휘가 안될 수도 있습니다. ,if(nr_oh2<2 && nr_oh3<2 && nr_oh4>1 && nr_oh5>1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
癸酉,04,남녀 공히 이성에 대한 관심을 가지더라도 표현력이 부족하여. 소년 연애 없이 지나기 쉬운 운입니다. 대체로 연애보다 중매로 결혼하는 경우가 많습니다. ,좋은 배필 인연으로 남자는 쥐띠. 소띠. 범띠. 뱀띠. 말띠. 닭띠. 개띠 여자가 됩니다. 남자는 처가 병들거나 처로 인한 근심이 올수 있습니다. ,좋은 배필 인연으로 여자는 쥐띠. 소띠. 용띠. 뱀띠. 양띠. 닭띠. 개띠 남자가 됩니다. 여자는 자식을 얻지 못하거나 자식으로 인한 근심이 올 수도 있습니다. ,,,
癸酉,05,재능. 기술. 학문의 별로 전문기술 분야나 교육. 육영 등으로 조직 직장 인연이면 순조로운 길이 됩니다. 조직 직장길은 교육. 육영. 전문직. 연구직. 경찰직. 유흥업계. 종교관련 조직. 출판 언론 등에 인연이 많고. 사업길은 종교. 교육. 의.약업. 자격사업. 전문기술 사업. 유흥업. 오락사업. 임대사업 등이 많습니다. 큰 재물을 꿈꾸어 사업 인연을 하더라도 노력. 재능에 비하여 결실이 적은 편으로 안정적인 직장으로 평생하는 것이 좋을 그릇입니다,,,팔자에 정. 오의 글자가 있으면. ,사업 인연도 하는데 대체로 전문 자격이나 기술 사업이 좋습니다. ,if (sj_ganji.includes('丁') || sj_ganji.includes('午')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
癸酉,06,남녀 공히 배우자의 덕이 약하여 여러 가지 애로를 당하는 경우가 많고. 평생 바빠도. 바쁜 만큼의 소득은 기대하기 힘든 경우가 많습니다. ,,,팔자에 화와 토가 부족하면. ,평생 요식. 유흥. 도박. 밀수 등 좋지 못한 직업에 인연할 수 있으나. 큰 성공 없이 일생을 마치게 되는 수도 많습니다. ,if(nr_oh2<2 && nr_oh3<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
癸酉,06a,,,,묘년을 만나면. ,대체로 여러 가지 애로를 많이 겪게 됩니다.,if(hn_yj==='卯'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
癸酉,07,술을 담은 항아리는 색정으로 인한 곤란을 예고하고. 닭이 비에 젖은 모습은 신장에 병이 들면 치유가 어렵다는 점을 암시하는 것입니다. 이 사람은 대개 깔끔하고 미모를 지녔으며 영리하고 암기력이 뛰어납니다. 때론 결백한 성품이 고립을 자초하기도 합니다. 산사의 샘터나 계곡 의 형태를 띠고 있어 고적한 기운이 감돌며 이상향을 꿈꾸기도 합니다. 금신을 내포하여 세운 뜻을 끝까지 밀고 나가는 저력이 있는 한편. 수술수가 있습니다. ,,여자는 부인병을 경험하게 됩니다.,,,
癸酉,08,10 癸酉 (庚10 辛20)</br>病 금신(金神) 효신(梟神)</br></br>깔끔하고 미모(美貌)를 갖추며 영리하고 암기력이 뛰어나다. 성품의 결백함이 고립을 자초하는 경향이 있다. 집념을 불태우며 어떠한 장애도 굴복치 않고. 견디어내는 근기(根基)가 있으며 야망이 크다. 소학대성(小學大成)이라. 적게 배워도 크게 이룬다는 운기를 내포한다. 타인에게는 잘 베풀지만. 가족에게 인색한 기질은 酉. 천인(天刃)의 특징으로 어떤 일이든 자신이 참견해야 직성이 풀리는 편이다.</br>한편 물에 젖은 닭은 병이 들기 쉬운 상이니. 신장(腎臟)에 병이 들면 치유되기가 어렵다. 나체도화(裸體桃花)는 남녀 공히 이성 문제나 색정(色情)으로 인해 고통을 겪게 됨을 암시한다. 대인 관계는 많으나. 그것을 즐기는 편은 아니며 인수(印綬)의 정편(正偏) 교집으로 자칫 악의 유혹에 빠지기 쉬운 것이다. 사회 활동에서는 항상 중요하고 필요한 인물로 거론된다.,처(妻)나 처가(妻家)는 명문가로 덕을 많이 보거나. 아니면 화류계의 여성이나 흠이 있는 상대로 연상(年上)의 여인과 인연을 맺는 경우로 구분된다. 대체로 처덕(妻德)은 좋으나. 미인(美人)보다는 다소 남성답고. 억센 배우자를 만나면 필시 해로(偕老)한다고 전해진다. 국가 기관이다 거대 단체에서 기획을 주관하는 핵심 인물이 되거나. 아니면 건달이나 한량이 되는 둘 중 하나의 현상으로 귀결되는 특징이 있다. ,여성은 애교만점에 처세가 밝으나. 순종적인 기질은 없는 편이다. 적은 것을 가지고 크게 이루며 살 운명이니 부가(富家) 출신은 결혼해서 고생하게 된다.. ,,,
癸酉,09,1. 산사(山寺)의 계곡(溪谷) 형상이라. 고적함을 느끼고. 이상적인 생각을 많이 한다.</br>2. 혼전(婚前)에  아름다운 인연이 있었으나 맺지 못하고. 몹시 괴로워했다.,,3. 검봉금(劒鋒金)은 자궁(子宮)의 질환으로 남아(男兒)를 두기가 어렵다 ,,,
癸酉,10,,건강은 좋으나. 시력과 심장이 약할 우려가 있어 다소 스태미나가 딸린다는 느낌을 갖게 된다. 이성(異性)을 좋아하지만 행위는 기분적으로 처리하는 경우가 많다. 병궁(病宮)이라. 대다수는 아니지만 동성연애자일 경우도 있다.,女命은 한마디로 상대에 따라 변화가 심하며 색(色)을 꽤 밝히는 편이다 ,,,
癸酉,11,癸酉일주는 우선 신장과 심장을 조심해야 한다. 그 외 방광. 중풍. 당뇨. 비뇨기 계통의 질환에 노출될 우려가 있으며. 나이가 들면서 시력이 떨어지고. 치아가 부실해지기 쉬우며 잘 놀라는 일이 많다.</br>癸: 신장(腎臟). 발</br>酉: 소장(小腸). 정랑. 난소(卵巢). 코. 인후(목구멍). 폐(肺) ,,,,,
